name,distance,difficulty_id,city,state

('Red Lizard','0.4',6,'Huntsville','AL'),
('Richard Martin Trail NRT','11.3',1,'Athens','AL'),
('Indian Creek Greenway','2.9',1,'Madison','AL'),
('Aldridge Creek Greenway','5.6',1,'Owens Cross Roads','AL'),
('Tennessee River Greenway','0.9',1,'Owens Cross Roads','AL'),
('Atwood Linear Park Greenway','0.9',1,'Huntsville','AL'),
('Swan Creek Greenway Trail','2.4',1,'Athens','AL'),
('Athens Recreation Loop','1.6',1,'Athens','AL'),
('Jones Farm Park Greenway','0.5',1,'Huntsville','AL'),
('Marbut Bend Trail','1.1',1,'Athens','AL'),
('Eielson Alpine Trail','0.8',5,'Healy','AK'),
('Bike Path','1.8',1,'Healy','AK'),
('Blueberry Hill','0.6',2,'Healy','AK'),
('McKinley Bar Trail','2.5',2,'Healy','AK'),
('McKinley Station Trail','1.3',2,'Healy','AK'),
('Meadow View Trail','0.3',3,'Healy','AK'),
('Mountain Vista Trail','0.7',1,'Healy','AK'),
('Mt. Healy Trail','2.0',5,'Healy','AK'),
('Angel Rocks Trail','3.0',5,'Eielson Air Force Base','AK'),
('Tolovana Hot Springs Trail','10.8',1,'Ester','AK'),
('Anasazi Loop','1.3',2,'Flagstaff','AZ'),
('AZT - Passage 36 - Coconino Rim','18.6',1,'Grand Canyon','AZ'),
('AZT - Passage 43 - Buckskin Mountain','10.9',3,'Fredonia','AZ'),
('Great Western Trail #150 Central Segment','40.5',1,'Grand Canyon','AZ'),
('TEN-X Nature Trail #42','0.5',1,'Grand Canyon','AZ'),
('Red Butte Trail #37','1.6',5,'Grand Canyon','AZ'),
('Almosta Trail #0622','6.6',2,'Williamson','AZ'),
('Cedar Pocket Wash','4.3',3,'Beaver Dam','AZ'),
('Cedar Pocket Wash 'Narrows'','0.4',4,'Beaver Dam','AZ'),
('Maze Rock Art Site Trail','0.7',2,'Fredonia','AZ'),
('South Loop','1.6',3,'Little Rock','AR'),
('North Loop','1.6',3,'Little Rock','AR'),
('Jackfork Mountain Bike Trail','5.7',5,'Maumelle','AR'),
('West Summit Trail','0.6',5,'Maumelle','AR'),
('East Summit Trail','0.6',5,'Maumelle','AR'),
('Base Trail','2.2',3,'Maumelle','AR'),
('Rocky Valley Trail','1.2',4,'Maumelle','AR'),
('East Quarry Trail','0.5',3,'Maumelle','AR'),
('Arkansas River Trail','15.7',1,'Little Rock','AR'),
('Arkansas River Trail Extension','1.9',1,'North Little Rock','AR'),
('PCT: Belden to Burney Falls State Park','135.2',3,'Quincy','CA'),
('PCT: Highway 5 to Etna Summit','100.6',2,'Dunsmuir','CA'),
('Heart Lake Trail','8.6',3,'Shingletown','CA'),
('Osgood Ditch Trail #1276','1.6',2,'Cave Junction','OR'),
('Bay Area Ridge Trail: Hiddenbrooke Trail','2.4',3,'American Canyon','CA'),
('Crags Trail','2.4',4,'Dunsmuir','CA'),
('Root Creek Trail','1.6',3,'Dunsmuir','CA'),
('Rocky Pool Trail','2.4',1,'Forest Ranch','CA'),
('Big Leaf Pool Trail','1.2',1,'Magalia','CA'),
('Subway Cave Interpretive Loop','0.6',2,'Burney','CA'),
('CT - Segment 7: Goldhill to Copper Mountain','13.1',5,'Breckenridge','CO'),
('CDT: Gold Hill to Georgia Pass (CO Sec. 28)','20.4',4,'Breckenridge','CO'),
('CDT: Georgia Pass to Argentine Pass (CO Sec. 29)','22.1',5,'Breckenridge','CO'),
('MF Ranch Creek Road #142','4.6',1,'Dillon','CO'),
('Lone Pine Creek Trail #951','9.3',3,'Red Feather Lakes','CO'),
('East Blue River Trail #9104','1.2',1,'Silverthorne','CO'),
('Bushee Creek Trail #9104.1','0.7',5,'Silverthorne','CO'),
('Elk Horn Trail #925','3.5',5,'Saguache','CO'),
('Piney Creek Trail','9.5',1,'Parker','CO'),
('OT Loop','1.9',3,'Bellvue','CO'),
('Bluff Point Fire Road','3.6',2,'Poquonock Bridge','CT'),
('Salt Meadow Trail','1.3',2,'Westbrook Center','CT'),
('Faulkner Island Trail','0.1',1,'Guilford Center','CT'),
('Nipmuck Trail: East Branch','6.3',3,'Windham','CT'),
('Lantern Hill Trail','0.6',5,'Ledyard Center','CT'),
('Flood Control Levee North','1.5',2,'Mansfield City','CT'),
('Flood Control Levee South','1.3',1,'Windham','CT'),
('Bear Hill Outer Loop','1.8',1,'Bozrah','CT'),
('Red Trail','1.3',2,'Mansfield City','CT'),
('Summerwood Ridge Connector Trail','0.1',2,'Tolland','CT'),
('Whitely Farms Trail','3.7',3,'Pike Creek','DE'),
('Cross Country Trail','3.3',3,'Greenville','DE'),
('Rocky Run Trail','1.8',3,'Greenville','DE'),
('Brandywine Trail','2.7',1,'Greenville','DE'),
('Longwall Trail','1.1',3,'Greenville','DE'),
('C&D Canal Recreation Trail: Central','5.2',1,'Glasgow','DE'),
('C&D Canal Recreation Trail: East','4.4',1,'Delaware City','DE'),
('Fairfield Connector','0.3',1,'Newark','DE'),
('Rocky Run to Woodlawn Road','0.8',1,'Greenville','DE'),
('Rocky Run Cut-Off','0.4',3,'Greenville','DE'),
('Garden of Eden Trail','2.5',4,'Bristol','FL'),
('Florida Trail: St. Marks National Wildlife Refuge Section','22.3',1,'Crawfordville','FL'),
('Florida Trail - Apalachicola East','32.8',5,'Crawfordville','FL'),
('FNST: Econfina Section','10.9',4,'Youngstown','FL'),
('FNST: Side Trail','0.6',1,'Youngstown','FL'),
('Bill's Connector','0.5',1,'Tallahassee','FL'),
('Creek Forest Trail','0.8',4,'Tallahassee','FL'),
('Coon Bottom Loop','1.6',3,'Tallahassee','FL'),
('Swamp Forest Loop','1.9',4,'Tallahassee','FL'),
('Multi-Use Trail','2.7',1,'Woodville','FL'),
('Earls Ford Portage #523','0.3',1,'Clayton','GA'),
('Miller Trek Trail #46','5.5',5,'Hiawassee','GA'),
('Lake Chatuge Trail #26','0.9',1,'Hiawassee','GA'),
('Dick's Creek Falls Trail #60','0.2',1,'Clayton','GA'),
('Willis Knob River Access #146B','1.2',1,'Clayton','GA'),
('Jack's River Trail #13','16.5',4,'Benton','TN'),
('Chief Ladiga Trail','34.0',1,'Cave Spring','GA'),
('Eastern Trail','0.4',2,'Varnell','GA'),
('The Western Trail','0.7',2,'Varnell','GA'),
('Hemp Top Trail #145','5.0',5,'McCaysville','GA'),
('Crater Rim Trail','2.9',3,'Volcano','HI'),
('Halema'uma'u Trail','2.9',4,'Volcano','HI'),
('Ka'aha Trail','7.8',5,'Volcano','HI'),
('Ka'u Desert Trail','18.2',3,'Volcano','HI'),
('Mauna Iki Trail','5.4',3,'Volcano','HI'),
(''Iliahi Trail','0.5',3,'Volcano','HI'),
('Sulphur Banks Trail','0.7',1,'Volcano','HI'),
('Escape Road','3.7',3,'Volcano','HI'),
('The Puna Trail (Hā'ena Beach)','2.6',2,'Hawaiian Paradise Park','HI'),
('Kahauale'a trail to 2018 Pu'u O'o flow','3.5',4,'Fern Acres','HI'),
('NE Brickel Ridge Loop','6.6',1,'Spirit Lake','ID'),
('Ruby Ridge Trail (#35)','10.2',5,'Bonners Ferry','ID'),
('Fault Lake Trail #59','6.0',3,'Bonners Ferry','ID'),
('Big Creek Divide Trail #306','1.8',5,'Stevensville','MT'),
('Hulliman Ridge Trail','2.5',5,'Wallace','ID'),
('Heart Lake #7','0.2',3,'Clarkia','ID'),
('Heart Pass #65','4.9',3,'Clarkia','ID'),
('Contest Mountain Road #2642','4.8',2,'Sandpoint','ID'),
('Upper Elk Falls','0.2',3,'Orofino','ID'),
('Lower Elk Falls','0.3',5,'Orofino','ID'),
